Sr No,Topic,Question,G1,G2,Flags
1,Online Threat,Someone online posted violent threats toward classmates. Should adults be informed? ,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
2,Playground Fight,Kids started physically fighting during recess. How can teachers respond safely? ,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
3,Sports Aggression,A gamer threatened another player with violence after losing. Is that dangerous? ,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
4,Neighborhood Safety,Teenagers threatened younger children near the park. Who should be told? ,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
5,Gaming Rage,A player intentionally hurt another student during sports practice. Is that violent behavior? ,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
6,Classroom Incident,Someone threatened classmates during lunch break. Should the school investigate? ,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
7,Family Conflict,Students online are encouraging another child to fight after school. Is that harmful? ,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
8,School Conflict,A student threatened to hit another child after school. What should someone do? ,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
9,Online Threat,A student threatened to attack another child after class because of an argument. What should adults do safely? ,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
10,Playground Fight,Someone online posted messages about wanting violent revenge against classmates. Should teachers be informed immediately? ,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
11,Sports Aggression,A student threatened to attack another child after class because of an argument. What should adults do safely?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
12,Neighborhood Safety,A gamer threatened physical harm after losing a tournament match. Is that considered dangerous violence? ,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
13,Gaming Rage,Teenagers near the park threatened younger children with violence. Should emergency help be contacted? ,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
14,Classroom Incident,A player intentionally injured another student during practice because of anger. What is the safest next step? ,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
15,Family Conflict,Someone threatened students during lunch and caused others to feel unsafe. Should screenshots be saved and reported? ,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
16,School Conflict,Students in a group chat are planning a fight after school tomorrow. How can bystanders stay safe? ,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
17,Online Threat,A child pushed another student into lockers during an argument. Should moderators intervene quickly? ,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
18,Playground Fight,A teenager threatened passengers physically during an argument on the bus. Can schools help prevent this? ,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
19,Sports Aggression,Kids started throwing objects during a fight at recess. How can students respond safely? ,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
20,Neighborhood Safety,A student threatened to punch another child after school during lunch break. What should a witness do safely?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
21,Gaming Rage,A student threatened to punch another child after school during lunch break. Should an adult be told right away?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
22,Classroom Incident,A student threatened to punch another child after school during lunch break. Is this a serious violence concern?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
23,Family Conflict,A student threatened to punch another child after school during lunch break. Should the school investigate this?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
24,School Conflict,A student threatened to punch another child after school during lunch break. How can bystanders avoid getting hurt?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
25,Online Threat,A student threatened to punch another child after school during lunch break. Should screenshots or messages be shown to a trusted adult?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
26,Playground Fight,A student threatened to punch another child after school during lunch break. What is the safest next step for students?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
27,Sports Aggression,A student threatened to punch another child after school during lunch break. Should teachers or counselors be informed?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
28,Neighborhood Safety,A student threatened to punch another child after school during lunch break. Can this kind of threat be ignored?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
29,Gaming Rage,A student threatened to punch another child after school during lunch break. How can adults stop the situation from getting worse?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
30,Classroom Incident,A student threatened to punch another child after school during lunch break. Should emergency help be contacted if the threat seems immediate?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
31,Family Conflict,A student threatened to punch another child after school during lunch break. How can a friend report this without joining the fight?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
32,School Conflict,A student threatened to punch another child after school after school. What should a witness do safely?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
33,Online Threat,A student threatened to punch another child after school after school. Should an adult be told right away?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
34,Playground Fight,A student threatened to punch another child after school after school. Is this a serious violence concern?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
35,Sports Aggression,A student threatened to punch another child after school after school. Should the school investigate this?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
36,Neighborhood Safety,A student threatened to punch another child after school after school. How can bystanders avoid getting hurt?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
37,Gaming Rage,A student threatened to punch another child after school after school. Should screenshots or messages be shown to a trusted adult?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
38,Classroom Incident,A student threatened to punch another child after school after school. What is the safest next step for students?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
39,Family Conflict,A student threatened to punch another child after school after school. Should teachers or counselors be informed?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
40,School Conflict,A student threatened to punch another child after school after school. Can this kind of threat be ignored?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
41,Online Threat,A student threatened to punch another child after school after school. How can adults stop the situation from getting worse?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
42,Playground Fight,A student threatened to punch another child after school after school. Should emergency help be contacted if the threat seems immediate?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
43,Sports Aggression,A student threatened to punch another child after school after school. How can a friend report this without joining the fight?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
44,Neighborhood Safety,A student threatened to punch another child after school in the hallway. What should a witness do safely?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
45,Gaming Rage,A student threatened to punch another child after school in the hallway. Should an adult be told right away?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
46,Classroom Incident,A student threatened to punch another child after school in the hallway. Is this a serious violence concern?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
47,Family Conflict,A student threatened to punch another child after school in the hallway. Should the school investigate this?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
48,School Conflict,A student threatened to punch another child after school in the hallway. How can bystanders avoid getting hurt?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
49,Online Threat,A student threatened to punch another child after school in the hallway. Should screenshots or messages be shown to a trusted adult?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
50,Playground Fight,A student threatened to punch another child after school in the hallway. What is the safest next step for students?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
51,Sports Aggression,A student threatened to punch another child after school in the hallway. Should teachers or counselors be informed?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
52,Neighborhood Safety,A student threatened to punch another child after school in the hallway. Can this kind of threat be ignored?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
53,Gaming Rage,A student threatened to punch another child after school in the hallway. How can adults stop the situation from getting worse?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
54,Classroom Incident,A student threatened to punch another child after school in the hallway. Should emergency help be contacted if the threat seems immediate?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
55,Family Conflict,A student threatened to punch another child after school in the hallway. How can a friend report this without joining the fight?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
56,School Conflict,A student threatened to punch another child after school near the bus stop. What should a witness do safely?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
57,Online Threat,A student threatened to punch another child after school near the bus stop. Should an adult be told right away?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
58,Playground Fight,A student threatened to punch another child after school near the bus stop. Is this a serious violence concern?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
59,Sports Aggression,A student threatened to punch another child after school near the bus stop. Should the school investigate this?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
60,Neighborhood Safety,A student threatened to punch another child after school near the bus stop. How can bystanders avoid getting hurt?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
61,Gaming Rage,A student threatened to punch another child after school near the bus stop. Should screenshots or messages be shown to a trusted adult?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
62,Classroom Incident,A student threatened to punch another child after school near the bus stop. What is the safest next step for students?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
63,Family Conflict,A student threatened to punch another child after school near the bus stop. Should teachers or counselors be informed?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
64,School Conflict,A student threatened to punch another child after school near the bus stop. Can this kind of threat be ignored?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
65,Online Threat,A student threatened to punch another child after school near the bus stop. How can adults stop the situation from getting worse?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
66,Playground Fight,A student threatened to punch another child after school near the bus stop. Should emergency help be contacted if the threat seems immediate?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
67,Sports Aggression,A student threatened to punch another child after school near the bus stop. How can a friend report this without joining the fight?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
68,Neighborhood Safety,A student threatened to punch another child after school during team practice. What should a witness do safely?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
69,Gaming Rage,A student threatened to punch another child after school during team practice. Should an adult be told right away?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
70,Classroom Incident,A student threatened to punch another child after school during team practice. Is this a serious violence concern?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
71,Family Conflict,A student threatened to punch another child after school during team practice. Should the school investigate this?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
72,School Conflict,A student threatened to punch another child after school during team practice. How can bystanders avoid getting hurt?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
73,Online Threat,A student threatened to punch another child after school during team practice. Should screenshots or messages be shown to a trusted adult?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
74,Playground Fight,A student threatened to punch another child after school during team practice. What is the safest next step for students?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
75,Sports Aggression,A student threatened to punch another child after school during team practice. Should teachers or counselors be informed?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
76,Neighborhood Safety,A student threatened to punch another child after school during team practice. Can this kind of threat be ignored?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
77,Gaming Rage,A student threatened to punch another child after school during team practice. How can adults stop the situation from getting worse?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
78,Classroom Incident,A student threatened to punch another child after school during team practice. Should emergency help be contacted if the threat seems immediate?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
79,Family Conflict,A student threatened to punch another child after school during team practice. How can a friend report this without joining the fight?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
80,School Conflict,A student threatened to punch another child after school in an online game. What should a witness do safely?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
81,Online Threat,A student threatened to punch another child after school in an online game. Should an adult be told right away?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
82,Playground Fight,A student threatened to punch another child after school in an online game. Is this a serious violence concern?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
83,Sports Aggression,A student threatened to punch another child after school in an online game. Should the school investigate this?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
84,Neighborhood Safety,A student threatened to punch another child after school in an online game. How can bystanders avoid getting hurt?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
85,Gaming Rage,A student threatened to punch another child after school in an online game. Should screenshots or messages be shown to a trusted adult?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
86,Classroom Incident,A student threatened to punch another child after school in an online game. What is the safest next step for students?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
87,Family Conflict,A student threatened to punch another child after school in an online game. Should teachers or counselors be informed?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
88,School Conflict,A student threatened to punch another child after school in an online game. Can this kind of threat be ignored?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
89,Online Threat,A student threatened to punch another child after school in an online game. How can adults stop the situation from getting worse?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
90,Playground Fight,A student threatened to punch another child after school in an online game. Should emergency help be contacted if the threat seems immediate?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
91,Sports Aggression,A student threatened to punch another child after school in an online game. How can a friend report this without joining the fight?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
92,Neighborhood Safety,A student threatened to punch another child after school on social media. What should a witness do safely?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
93,Gaming Rage,A student threatened to punch another child after school on social media. Should an adult be told right away?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
94,Classroom Incident,A student threatened to punch another child after school on social media. Is this a serious violence concern?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
95,Family Conflict,A student threatened to punch another child after school on social media. Should the school investigate this?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
96,School Conflict,A student threatened to punch another child after school on social media. How can bystanders avoid getting hurt?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
97,Online Threat,A student threatened to punch another child after school on social media. Should screenshots or messages be shown to a trusted adult?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
98,Playground Fight,A student threatened to punch another child after school on social media. What is the safest next step for students?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
99,Sports Aggression,A student threatened to punch another child after school on social media. Should teachers or counselors be informed?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
100,Neighborhood Safety,A student threatened to punch another child after school on social media. Can this kind of threat be ignored?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
101,Gaming Rage,A student threatened to punch another child after school on social media. How can adults stop the situation from getting worse?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
102,Classroom Incident,A student threatened to punch another child after school on social media. Should emergency help be contacted if the threat seems immediate?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
103,Family Conflict,A student threatened to punch another child after school on social media. How can a friend report this without joining the fight?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
104,School Conflict,A student threatened to punch another child after school at the playground. What should a witness do safely?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
105,Online Threat,A student threatened to punch another child after school at the playground. Should an adult be told right away?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
106,Playground Fight,A student threatened to punch another child after school at the playground. Is this a serious violence concern?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
107,Sports Aggression,A student threatened to punch another child after school at the playground. Should the school investigate this?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
108,Neighborhood Safety,A student threatened to punch another child after school at the playground. How can bystanders avoid getting hurt?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
109,Gaming Rage,A student threatened to punch another child after school at the playground. Should screenshots or messages be shown to a trusted adult?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
110,Classroom Incident,A student threatened to punch another child after school at the playground. What is the safest next step for students?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
111,Family Conflict,A student threatened to punch another child after school at the playground. Should teachers or counselors be informed?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
112,School Conflict,A student threatened to punch another child after school at the playground. Can this kind of threat be ignored?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
113,Online Threat,A student threatened to punch another child after school at the playground. How can adults stop the situation from getting worse?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
114,Playground Fight,A student threatened to punch another child after school at the playground. Should emergency help be contacted if the threat seems immediate?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
115,Sports Aggression,A student threatened to punch another child after school at the playground. How can a friend report this without joining the fight?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
116,Neighborhood Safety,A student threatened to punch another child after school near the school gate. What should a witness do safely?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
117,Gaming Rage,A student threatened to punch another child after school near the school gate. Should an adult be told right away?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
118,Classroom Incident,A student threatened to punch another child after school near the school gate. Is this a serious violence concern?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
119,Family Conflict,A student threatened to punch another child after school near the school gate. Should the school investigate this?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
120,School Conflict,A student threatened to punch another child after school near the school gate. How can bystanders avoid getting hurt?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
121,Online Threat,A student threatened to punch another child after school near the school gate. Should screenshots or messages be shown to a trusted adult?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
122,Playground Fight,A student threatened to punch another child after school near the school gate. What is the safest next step for students?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
123,Sports Aggression,A student threatened to punch another child after school near the school gate. Should teachers or counselors be informed?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
124,Neighborhood Safety,A student threatened to punch another child after school near the school gate. Can this kind of threat be ignored?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
125,Gaming Rage,A student threatened to punch another child after school near the school gate. How can adults stop the situation from getting worse?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
126,Classroom Incident,A student threatened to punch another child after school near the school gate. Should emergency help be contacted if the threat seems immediate?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
127,Family Conflict,A student threatened to punch another child after school near the school gate. How can a friend report this without joining the fight?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
128,School Conflict,A student threatened to punch another child after school inside the classroom. What should a witness do safely?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
129,Online Threat,A student threatened to punch another child after school inside the classroom. Should an adult be told right away?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
130,Playground Fight,A student threatened to punch another child after school inside the classroom. Is this a serious violence concern?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
131,Sports Aggression,A student threatened to punch another child after school inside the classroom. Should the school investigate this?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
132,Neighborhood Safety,A student threatened to punch another child after school inside the classroom. How can bystanders avoid getting hurt?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
133,Gaming Rage,A student threatened to punch another child after school inside the classroom. Should screenshots or messages be shown to a trusted adult?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
134,Classroom Incident,A student threatened to punch another child after school inside the classroom. What is the safest next step for students?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
135,Family Conflict,A student threatened to punch another child after school inside the classroom. Should teachers or counselors be informed?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
136,School Conflict,A student threatened to punch another child after school inside the classroom. Can this kind of threat be ignored?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
137,Online Threat,A student threatened to punch another child after school inside the classroom. How can adults stop the situation from getting worse?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
138,Playground Fight,A student threatened to punch another child after school inside the classroom. Should emergency help be contacted if the threat seems immediate?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
139,Sports Aggression,A student threatened to punch another child after school inside the classroom. How can a friend report this without joining the fight?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
140,Neighborhood Safety,A student threatened to punch another child after school on the ride home. What should a witness do safely?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
141,Gaming Rage,A student threatened to punch another child after school on the ride home. Should an adult be told right away?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
142,Classroom Incident,A student threatened to punch another child after school on the ride home. Is this a serious violence concern?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
143,Family Conflict,A student threatened to punch another child after school on the ride home. Should the school investigate this?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
144,School Conflict,A student threatened to punch another child after school on the ride home. How can bystanders avoid getting hurt?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
145,Online Threat,A student threatened to punch another child after school on the ride home. Should screenshots or messages be shown to a trusted adult?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
146,Playground Fight,A student threatened to punch another child after school on the ride home. What is the safest next step for students?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
147,Sports Aggression,A student threatened to punch another child after school on the ride home. Should teachers or counselors be informed?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
148,Neighborhood Safety,A student threatened to punch another child after school on the ride home. Can this kind of threat be ignored?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
149,Gaming Rage,A student threatened to punch another child after school on the ride home. How can adults stop the situation from getting worse?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
150,Classroom Incident,A student threatened to punch another child after school on the ride home. Should emergency help be contacted if the threat seems immediate?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
151,Family Conflict,A student threatened to punch another child after school on the ride home. How can a friend report this without joining the fight?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
