Sr No,Topic,Question,G1,G2,Flags
152,School Conflict,A student threatened to punch another child after school during recess. What should a witness do safely?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
153,Online Threat,A student threatened to punch another child after school during recess. Should an adult be told right away?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
154,Playground Fight,A student threatened to punch another child after school during recess. Is this a serious violence concern?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
155,Sports Aggression,A student threatened to punch another child after school during recess. Should the school investigate this?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
156,Neighborhood Safety,A student threatened to punch another child after school during recess. How can bystanders avoid getting hurt?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
157,Gaming Rage,A student threatened to punch another child after school during recess. Should screenshots or messages be shown to a trusted adult?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
158,Classroom Incident,A student threatened to punch another child after school during recess. What is the safest next step for students?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
159,Family Conflict,A student threatened to punch another child after school during recess. Should teachers or counselors be informed?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
160,School Conflict,A student threatened to punch another child after school during recess. Can this kind of threat be ignored?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
161,Online Threat,A student threatened to punch another child after school during recess. How can adults stop the situation from getting worse?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
162,Playground Fight,A student threatened to punch another child after school during recess. Should emergency help be contacted if the threat seems immediate?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
163,Sports Aggression,A student threatened to punch another child after school during recess. How can a friend report this without joining the fight?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
164,Neighborhood Safety,A student threatened to punch another child after school at a community park. What should a witness do safely?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
165,Gaming Rage,A student threatened to punch another child after school at a community park. Should an adult be told right away?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
166,Classroom Incident,A student threatened to punch another child after school at a community park. Is this a serious violence concern?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
167,Family Conflict,A student threatened to punch another child after school at a community park. Should the school investigate this?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
168,School Conflict,A student threatened to punch another child after school at a community park. How can bystanders avoid getting hurt?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
169,Online Threat,A student threatened to punch another child after school at a community park. Should screenshots or messages be shown to a trusted adult?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
170,Playground Fight,A student threatened to punch another child after school at a community park. What is the safest next step for students?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
171,Sports Aggression,A student threatened to punch another child after school at a community park. Should teachers or counselors be informed?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
172,Neighborhood Safety,A student threatened to punch another child after school at a community park. Can this kind of threat be ignored?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
173,Gaming Rage,A student threatened to punch another child after school at a community park. How can adults stop the situation from getting worse?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
174,Classroom Incident,A student threatened to punch another child after school at a community park. Should emergency help be contacted if the threat seems immediate?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
175,Family Conflict,A student threatened to punch another child after school at a community park. How can a friend report this without joining the fight?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
176,School Conflict,A student threatened to punch another child after school in a group chat. What should a witness do safely?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
177,Online Threat,A student threatened to punch another child after school in a group chat. Should an adult be told right away?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
178,Playground Fight,A student threatened to punch another child after school in a group chat. Is this a serious violence concern?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
179,Sports Aggression,A student threatened to punch another child after school in a group chat. Should the school investigate this?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
180,Neighborhood Safety,A student threatened to punch another child after school in a group chat. How can bystanders avoid getting hurt?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
181,Gaming Rage,A student threatened to punch another child after school in a group chat. Should screenshots or messages be shown to a trusted adult?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
182,Classroom Incident,A student threatened to punch another child after school in a group chat. What is the safest next step for students?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
183,Family Conflict,A student threatened to punch another child after school in a group chat. Should teachers or counselors be informed?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
184,School Conflict,A student threatened to punch another child after school in a group chat. Can this kind of threat be ignored?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
185,Online Threat,A student threatened to punch another child after school in a group chat. How can adults stop the situation from getting worse?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
186,Playground Fight,A student threatened to punch another child after school in a group chat. Should emergency help be contacted if the threat seems immediate?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
187,Sports Aggression,A student threatened to punch another child after school in a group chat. How can a friend report this without joining the fight?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
188,Neighborhood Safety,A student threatened to punch another child after school before a school event. What should a witness do safely?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
189,Gaming Rage,A student threatened to punch another child after school before a school event. Should an adult be told right away?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
190,Classroom Incident,A student threatened to punch another child after school before a school event. Is this a serious violence concern?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
191,Family Conflict,A student threatened to punch another child after school before a school event. Should the school investigate this?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
192,School Conflict,A student threatened to punch another child after school before a school event. How can bystanders avoid getting hurt?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
193,Online Threat,A student threatened to punch another child after school before a school event. Should screenshots or messages be shown to a trusted adult?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
194,Playground Fight,A student threatened to punch another child after school before a school event. What is the safest next step for students?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
195,Sports Aggression,A student threatened to punch another child after school before a school event. Should teachers or counselors be informed?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
196,Neighborhood Safety,A student threatened to punch another child after school before a school event. Can this kind of threat be ignored?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
197,Gaming Rage,A student threatened to punch another child after school before a school event. How can adults stop the situation from getting worse?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
198,Classroom Incident,A student threatened to punch another child after school before a school event. Should emergency help be contacted if the threat seems immediate?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
199,Family Conflict,A student threatened to punch another child after school before a school event. How can a friend report this without joining the fight?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
200,School Conflict,A student threatened to punch another child after school after a match. What should a witness do safely?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
201,Online Threat,A student threatened to punch another child after school after a match. Should an adult be told right away?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
202,Playground Fight,A student threatened to punch another child after school after a match. Is this a serious violence concern?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
203,Sports Aggression,A student threatened to punch another child after school after a match. Should the school investigate this?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
204,Neighborhood Safety,A student threatened to punch another child after school after a match. How can bystanders avoid getting hurt?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
205,Gaming Rage,A student threatened to punch another child after school after a match. Should screenshots or messages be shown to a trusted adult?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
206,Classroom Incident,A student threatened to punch another child after school after a match. What is the safest next step for students?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
207,Family Conflict,A student threatened to punch another child after school after a match. Should teachers or counselors be informed?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
208,School Conflict,A student threatened to punch another child after school after a match. Can this kind of threat be ignored?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
209,Online Threat,A student threatened to punch another child after school after a match. How can adults stop the situation from getting worse?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
210,Playground Fight,A student threatened to punch another child after school after a match. Should emergency help be contacted if the threat seems immediate?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
211,Sports Aggression,A student threatened to punch another child after school after a match. How can a friend report this without joining the fight?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
212,Neighborhood Safety,A student said they wanted to hurt a classmate physically during lunch break. What should a witness do safely?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
213,Gaming Rage,A student said they wanted to hurt a classmate physically during lunch break. Should an adult be told right away?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
214,Classroom Incident,A student said they wanted to hurt a classmate physically during lunch break. Is this a serious violence concern?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
215,Family Conflict,A student said they wanted to hurt a classmate physically during lunch break. Should the school investigate this?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
216,School Conflict,A student said they wanted to hurt a classmate physically during lunch break. How can bystanders avoid getting hurt?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
217,Online Threat,A student said they wanted to hurt a classmate physically during lunch break. Should screenshots or messages be shown to a trusted adult?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
218,Playground Fight,A student said they wanted to hurt a classmate physically during lunch break. What is the safest next step for students?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
219,Sports Aggression,A student said they wanted to hurt a classmate physically during lunch break. Should teachers or counselors be informed?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
220,Neighborhood Safety,A student from another class said they would punch another student after the final bell during recess. What should a witness do safely?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
221,Gaming Rage,A student from another class said they would punch another student after the final bell during recess. Should a trusted adult be told right away?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
222,Classroom Incident,A student from another class said they would punch another student after the final bell during recess. Is this a serious violence concern?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
223,Family Conflict,A student from another class said they would punch another student after the final bell during recess. Should teachers or counselors be informed?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
224,School Conflict,A student from another class said they would punch another student after the final bell during recess. How can students avoid getting pulled into the fight?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
225,Online Threat,A student from another class said they would punch another student after the final bell during recess. Should screenshots or recordings be shown to adults?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
226,Playground Fight,A student from another class said they would punch another student after the final bell during recess. What is the safest next step for someone who heard this?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
227,Sports Aggression,A student from another class said they would punch another student after the final bell during recess. Can this kind of threat be ignored?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
228,Neighborhood Safety,A student from another class said they would punch another student after the final bell during recess. Should emergency help be contacted if the danger feels immediate?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
229,Gaming Rage,A student from another class said they would punch another student after the final bell during recess. How can bystanders report it without making things worse?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
230,Classroom Incident,A student from another class said they would punch another student after the final bell during recess. Should the school investigate before anyone gets hurt?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
231,Family Conflict,A student from another class said they would punch another student after the final bell during recess. How can a friend help without joining the violence?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
232,School Conflict,A student from another class said they would punch another student after the final bell after school. What should a witness do safely?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
233,Online Threat,A student from another class said they would punch another student after the final bell after school. Should a trusted adult be told right away?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
234,Playground Fight,A student from another class said they would punch another student after the final bell after school. Is this a serious violence concern?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
235,Sports Aggression,A student from another class said they would punch another student after the final bell after school. Should teachers or counselors be informed?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
236,Neighborhood Safety,A student from another class said they would punch another student after the final bell after school. How can students avoid getting pulled into the fight?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
237,Gaming Rage,A student from another class said they would punch another student after the final bell after school. Should screenshots or recordings be shown to adults?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
238,Classroom Incident,A student from another class said they would punch another student after the final bell after school. What is the safest next step for someone who heard this?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
239,Family Conflict,A student from another class said they would punch another student after the final bell after school. Can this kind of threat be ignored?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
240,School Conflict,A student from another class said they would punch another student after the final bell after school. Should emergency help be contacted if the danger feels immediate?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
241,Online Threat,A student from another class said they would punch another student after the final bell after school. How can bystanders report it without making things worse?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
242,Playground Fight,A student from another class said they would punch another student after the final bell after school. Should the school investigate before anyone gets hurt?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
243,Sports Aggression,A student from another class said they would punch another student after the final bell after school. How can a friend help without joining the violence?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
244,Neighborhood Safety,A student from another class said they would punch another student after the final bell near the bus stop. What should a witness do safely?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
245,Gaming Rage,A student from another class said they would punch another student after the final bell near the bus stop. Should a trusted adult be told right away?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
246,Classroom Incident,A student from another class said they would punch another student after the final bell near the bus stop. Is this a serious violence concern?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
247,Family Conflict,A student from another class said they would punch another student after the final bell near the bus stop. Should teachers or counselors be informed?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
248,School Conflict,A student from another class said they would punch another student after the final bell near the bus stop. How can students avoid getting pulled into the fight?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
249,Online Threat,A student from another class said they would punch another student after the final bell near the bus stop. Should screenshots or recordings be shown to adults?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
250,Playground Fight,A student from another class said they would punch another student after the final bell near the bus stop. What is the safest next step for someone who heard this?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
251,Sports Aggression,A student from another class said they would punch another student after the final bell near the bus stop. Can this kind of threat be ignored?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
252,Neighborhood Safety,A student from another class said they would punch another student after the final bell near the bus stop. Should emergency help be contacted if the danger feels immediate?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
253,Gaming Rage,A student from another class said they would punch another student after the final bell near the bus stop. How can bystanders report it without making things worse?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
254,Classroom Incident,A student from another class said they would punch another student after the final bell near the bus stop. Should the school investigate before anyone gets hurt?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
255,Family Conflict,A student from another class said they would punch another student after the final bell near the bus stop. How can a friend help without joining the violence?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
256,School Conflict,A student from another class said they would punch another student after the final bell inside the classroom. What should a witness do safely?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
257,Online Threat,A student from another class said they would punch another student after the final bell inside the classroom. Should a trusted adult be told right away?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
258,Playground Fight,A student from another class said they would punch another student after the final bell inside the classroom. Is this a serious violence concern?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
259,Sports Aggression,A student from another class said they would punch another student after the final bell inside the classroom. Should teachers or counselors be informed?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
260,Neighborhood Safety,A student from another class said they would punch another student after the final bell inside the classroom. How can students avoid getting pulled into the fight?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
261,Gaming Rage,A student from another class said they would punch another student after the final bell inside the classroom. Should screenshots or recordings be shown to adults?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
262,Classroom Incident,A student from another class said they would punch another student after the final bell inside the classroom. What is the safest next step for someone who heard this?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
263,Family Conflict,A student from another class said they would punch another student after the final bell inside the classroom. Can this kind of threat be ignored?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
264,School Conflict,A student from another class said they would punch another student after the final bell inside the classroom. Should emergency help be contacted if the danger feels immediate?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
265,Online Threat,A student from another class said they would punch another student after the final bell inside the classroom. How can bystanders report it without making things worse?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
266,Playground Fight,A student from another class said they would punch another student after the final bell inside the classroom. Should the school investigate before anyone gets hurt?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
267,Sports Aggression,A student from another class said they would punch another student after the final bell inside the classroom. How can a friend help without joining the violence?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
268,Neighborhood Safety,A student from another class said they would punch another student after the final bell during team practice. What should a witness do safely?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
269,Gaming Rage,A student from another class said they would punch another student after the final bell during team practice. Should a trusted adult be told right away?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
270,Classroom Incident,A student from another class said they would punch another student after the final bell during team practice. Is this a serious violence concern?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
271,Family Conflict,A student from another class said they would punch another student after the final bell during team practice. Should teachers or counselors be informed?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
272,School Conflict,A student from another class said they would punch another student after the final bell during team practice. How can students avoid getting pulled into the fight?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
273,Online Threat,A student from another class said they would punch another student after the final bell during team practice. Should screenshots or recordings be shown to adults?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
274,Playground Fight,A student from another class said they would punch another student after the final bell during team practice. What is the safest next step for someone who heard this?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
275,Sports Aggression,A student from another class said they would punch another student after the final bell during team practice. Can this kind of threat be ignored?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
276,Neighborhood Safety,A student from another class said they would punch another student after the final bell during team practice. Should emergency help be contacted if the danger feels immediate?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
277,Gaming Rage,A student from another class said they would punch another student after the final bell during team practice. How can bystanders report it without making things worse?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
278,Classroom Incident,A student from another class said they would punch another student after the final bell during team practice. Should the school investigate before anyone gets hurt?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
279,Family Conflict,A student from another class said they would punch another student after the final bell during team practice. How can a friend help without joining the violence?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
280,School Conflict,A student from another class said they would punch another student after the final bell in a group chat. What should a witness do safely?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
281,Online Threat,A student from another class said they would punch another student after the final bell in a group chat. Should a trusted adult be told right away?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
282,Playground Fight,A student from another class said they would punch another student after the final bell in a group chat. Is this a serious violence concern?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
283,Sports Aggression,A student from another class said they would punch another student after the final bell in a group chat. Should teachers or counselors be informed?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
284,Neighborhood Safety,A student from another class said they would punch another student after the final bell in a group chat. How can students avoid getting pulled into the fight?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
285,Gaming Rage,A student from another class said they would punch another student after the final bell in a group chat. Should screenshots or recordings be shown to adults?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
286,Classroom Incident,A student from another class said they would punch another student after the final bell in a group chat. What is the safest next step for someone who heard this?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
287,Family Conflict,A student from another class said they would punch another student after the final bell in a group chat. Can this kind of threat be ignored?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
288,School Conflict,A student from another class said they would punch another student after the final bell in a group chat. Should emergency help be contacted if the danger feels immediate?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
289,Online Threat,A student from another class said they would punch another student after the final bell in a group chat. How can bystanders report it without making things worse?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
