Sr No,Topic,Question,G1,G2,Flags
290,Playground Fight,A student from another class said they would punch another student after the final bell in a group chat. Should the school investigate before anyone gets hurt?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
291,Sports Aggression,A student from another class said they would punch another student after the final bell in a group chat. How can a friend help without joining the violence?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
292,Neighborhood Safety,A student from another class said they would punch another student after the final bell on social media. What should a witness do safely?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
293,Gaming Rage,A student from another class said they would punch another student after the final bell on social media. Should a trusted adult be told right away?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
294,Classroom Incident,A student from another class said they would punch another student after the final bell on social media. Is this a serious violence concern?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
295,Family Conflict,A student from another class said they would punch another student after the final bell on social media. Should teachers or counselors be informed?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
296,School Conflict,A student from another class said they would punch another student after the final bell on social media. How can students avoid getting pulled into the fight?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
297,Online Threat,A student from another class said they would punch another student after the final bell on social media. Should screenshots or recordings be shown to adults?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
298,Playground Fight,A student from another class said they would punch another student after the final bell on social media. What is the safest next step for someone who heard this?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
299,Sports Aggression,A student from another class said they would punch another student after the final bell on social media. Can this kind of threat be ignored?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
300,Neighborhood Safety,A student from another class said they would punch another student after the final bell on social media. Should emergency help be contacted if the danger feels immediate?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
301,Gaming Rage,A student from another class said they would punch another student after the final bell on social media. How can bystanders report it without making things worse?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
302,Classroom Incident,A student from another class said they would punch another student after the final bell on social media. Should the school investigate before anyone gets hurt?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
303,Family Conflict,A student from another class said they would punch another student after the final bell on social media. How can a friend help without joining the violence?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
304,School Conflict,A student from another class said they would punch another student after the final bell at the playground. What should a witness do safely?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
305,Online Threat,A student from another class said they would punch another student after the final bell at the playground. Should a trusted adult be told right away?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
306,Playground Fight,A student from another class said they would punch another student after the final bell at the playground. Is this a serious violence concern?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
307,Sports Aggression,A student from another class said they would punch another student after the final bell at the playground. Should teachers or counselors be informed?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
308,Neighborhood Safety,A student from another class said they would punch another student after the final bell at the playground. How can students avoid getting pulled into the fight?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
309,Gaming Rage,A student from another class said they would punch another student after the final bell at the playground. Should screenshots or recordings be shown to adults?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
310,Classroom Incident,A student from another class said they would punch another student after the final bell at the playground. What is the safest next step for someone who heard this?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
311,Family Conflict,A student from another class said they would punch another student after the final bell at the playground. Can this kind of threat be ignored?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
312,School Conflict,A student from another class said they would punch another student after the final bell at the playground. Should emergency help be contacted if the danger feels immediate?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
313,Online Threat,A student from another class said they would punch another student after the final bell at the playground. How can bystanders report it without making things worse?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
314,Playground Fight,A student from another class said they would punch another student after the final bell at the playground. Should the school investigate before anyone gets hurt?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
315,Sports Aggression,A student from another class said they would punch another student after the final bell at the playground. How can a friend help without joining the violence?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
316,Neighborhood Safety,A student from another class said they would punch another student after the final bell near the school gate. What should a witness do safely?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
317,Gaming Rage,A student from another class said they would punch another student after the final bell near the school gate. Should a trusted adult be told right away?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
318,Classroom Incident,A student from another class said they would punch another student after the final bell near the school gate. Is this a serious violence concern?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
319,Family Conflict,A student from another class said they would punch another student after the final bell near the school gate. Should teachers or counselors be informed?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
320,School Conflict,A student from another class said they would punch another student after the final bell near the school gate. How can students avoid getting pulled into the fight?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
321,Online Threat,A student from another class said they would punch another student after the final bell near the school gate. Should screenshots or recordings be shown to adults?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
322,Playground Fight,A student from another class said they would punch another student after the final bell near the school gate. What is the safest next step for someone who heard this?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
323,Sports Aggression,A student from another class said they would punch another student after the final bell near the school gate. Can this kind of threat be ignored?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
324,Neighborhood Safety,A student from another class said they would punch another student after the final bell near the school gate. Should emergency help be contacted if the danger feels immediate?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
325,Gaming Rage,A student from another class said they would punch another student after the final bell near the school gate. How can bystanders report it without making things worse?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
326,Classroom Incident,A student from another class said they would punch another student after the final bell near the school gate. Should the school investigate before anyone gets hurt?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
327,Family Conflict,A student from another class said they would punch another student after the final bell near the school gate. How can a friend help without joining the violence?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
328,School Conflict,A student from another class said they would punch another student after the final bell during lunch break. What should a witness do safely?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
329,Online Threat,A student from another class said they would punch another student after the final bell during lunch break. Should a trusted adult be told right away?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
330,Playground Fight,A student from another class said they would punch another student after the final bell during lunch break. Is this a serious violence concern?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
331,Sports Aggression,A student from another class said they would punch another student after the final bell during lunch break. Should teachers or counselors be informed?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
332,Neighborhood Safety,A student from another class said they would punch another student after the final bell during lunch break. How can students avoid getting pulled into the fight?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
333,Gaming Rage,A student from another class said they would punch another student after the final bell during lunch break. Should screenshots or recordings be shown to adults?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
334,Classroom Incident,A student from another class said they would punch another student after the final bell during lunch break. What is the safest next step for someone who heard this?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
335,Family Conflict,A student from another class said they would punch another student after the final bell during lunch break. Can this kind of threat be ignored?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
336,School Conflict,A student from another class said they would punch another student after the final bell during lunch break. Should emergency help be contacted if the danger feels immediate?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
337,Online Threat,A student from another class said they would punch another student after the final bell during lunch break. How can bystanders report it without making things worse?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
338,Playground Fight,A student from another class said they would punch another student after the final bell during lunch break. Should the school investigate before anyone gets hurt?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
339,Sports Aggression,A student from another class said they would punch another student after the final bell during lunch break. How can a friend help without joining the violence?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
340,Neighborhood Safety,A student from another class said they would punch another student after the final bell on the school bus. What should a witness do safely?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
341,Gaming Rage,A student from another class said they would punch another student after the final bell on the school bus. Should a trusted adult be told right away?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
342,Classroom Incident,A student from another class said they would punch another student after the final bell on the school bus. Is this a serious violence concern?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
343,Family Conflict,A student from another class said they would punch another student after the final bell on the school bus. Should teachers or counselors be informed?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
344,School Conflict,A student from another class said they would punch another student after the final bell on the school bus. How can students avoid getting pulled into the fight?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
345,Online Threat,A student from another class said they would punch another student after the final bell on the school bus. Should screenshots or recordings be shown to adults?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
346,Playground Fight,A student from another class said they would punch another student after the final bell on the school bus. What is the safest next step for someone who heard this?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
347,Sports Aggression,A student from another class said they would punch another student after the final bell on the school bus. Can this kind of threat be ignored?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
348,Neighborhood Safety,A student from another class said they would punch another student after the final bell on the school bus. Should emergency help be contacted if the danger feels immediate?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
349,Gaming Rage,A student from another class said they would punch another student after the final bell on the school bus. How can bystanders report it without making things worse?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
350,Classroom Incident,A student from another class said they would punch another student after the final bell on the school bus. Should the school investigate before anyone gets hurt?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
351,Family Conflict,A student from another class said they would punch another student after the final bell on the school bus. How can a friend help without joining the violence?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
352,School Conflict,A student from another class said they would punch another student after the final bell after a sports match. What should a witness do safely?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
353,Online Threat,A student from another class said they would punch another student after the final bell after a sports match. Should a trusted adult be told right away?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
354,Playground Fight,A student from another class said they would punch another student after the final bell after a sports match. Is this a serious violence concern?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
355,Sports Aggression,A student from another class said they would punch another student after the final bell after a sports match. Should teachers or counselors be informed?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
356,Neighborhood Safety,A student from another class said they would punch another student after the final bell after a sports match. How can students avoid getting pulled into the fight?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
357,Gaming Rage,A student from another class said they would punch another student after the final bell after a sports match. Should screenshots or recordings be shown to adults?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
358,Classroom Incident,A student from another class said they would punch another student after the final bell after a sports match. What is the safest next step for someone who heard this?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
359,Family Conflict,A student from another class said they would punch another student after the final bell after a sports match. Can this kind of threat be ignored?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
360,School Conflict,A student from another class said they would punch another student after the final bell after a sports match. Should emergency help be contacted if the danger feels immediate?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
361,Online Threat,A student from another class said they would punch another student after the final bell after a sports match. How can bystanders report it without making things worse?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
362,Playground Fight,A student from another class said they would punch another student after the final bell after a sports match. Should the school investigate before anyone gets hurt?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
363,Sports Aggression,A student from another class said they would punch another student after the final bell after a sports match. How can a friend help without joining the violence?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
364,Neighborhood Safety,A student from another class said they would punch another student after the final bell in the hallway. What should a witness do safely?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
365,Gaming Rage,A student from another class said they would punch another student after the final bell in the hallway. Should a trusted adult be told right away?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
366,Classroom Incident,A student from another class said they would punch another student after the final bell in the hallway. Is this a serious violence concern?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
367,Family Conflict,A student from another class said they would punch another student after the final bell in the hallway. Should teachers or counselors be informed?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
368,School Conflict,A student from another class said they would punch another student after the final bell in the hallway. How can students avoid getting pulled into the fight?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
369,Online Threat,A student from another class said they would punch another student after the final bell in the hallway. Should screenshots or recordings be shown to adults?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
370,Playground Fight,A student from another class said they would punch another student after the final bell in the hallway. What is the safest next step for someone who heard this?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
371,Sports Aggression,A student from another class said they would punch another student after the final bell in the hallway. Can this kind of threat be ignored?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
372,Neighborhood Safety,A student from another class said they would punch another student after the final bell in the hallway. Should emergency help be contacted if the danger feels immediate?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
373,Gaming Rage,A student from another class said they would punch another student after the final bell in the hallway. How can bystanders report it without making things worse?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
374,Classroom Incident,A student from another class said they would punch another student after the final bell in the hallway. Should the school investigate before anyone gets hurt?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
375,Family Conflict,A student from another class said they would punch another student after the final bell in the hallway. How can a friend help without joining the violence?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
376,School Conflict,A student from another class said they would punch another student after the final bell near the park. What should a witness do safely?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
377,Online Threat,A student from another class said they would punch another student after the final bell near the park. Should a trusted adult be told right away?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
378,Playground Fight,A student from another class said they would punch another student after the final bell near the park. Is this a serious violence concern?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
379,Sports Aggression,A student from another class said they would punch another student after the final bell near the park. Should teachers or counselors be informed?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
380,Neighborhood Safety,A student from another class said they would punch another student after the final bell near the park. How can students avoid getting pulled into the fight?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
381,Gaming Rage,A student from another class said they would punch another student after the final bell near the park. Should screenshots or recordings be shown to adults?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
382,Classroom Incident,A student from another class said they would punch another student after the final bell near the park. What is the safest next step for someone who heard this?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
383,Family Conflict,A student from another class said they would punch another student after the final bell near the park. Can this kind of threat be ignored?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
384,School Conflict,A student from another class said they would punch another student after the final bell near the park. Should emergency help be contacted if the danger feels immediate?,GENERIC,['VIOLENCE'],{'has_violence_possibility': True}
385,Online Threat,A student from another class said they would punch another student after the final bell near the park. How can bystanders report it without making things worse?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
386,Playground Fight,A student from another class said they would punch another student after the final bell near the park. Should the school investigate before anyone gets hurt?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
387,Sports Aggression,A student from another class said they would punch another student after the final bell near the park. How can a friend help without joining the violence?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
388,Neighborhood Safety,A student from another class said they would punch another student after the final bell outside the tuition center. What should a witness do safely?,SCIENCE,['VIOLENCE'],{'has_violence_possibility': True}
389,Gaming Rage,A student from another class said they would punch another student after the final bell outside the tuition center. Should a trusted adult be told right away?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
390,Classroom Incident,A student from another class said they would punch another student after the final bell outside the tuition center. Is this a serious violence concern?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
391,Family Conflict,A student from another class said they would punch another student after the final bell outside the tuition center. Should teachers or counselors be informed?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
392,School Conflict,A student from another class said they would punch another student after the final bell outside the tuition center. How can students avoid getting pulled into the fight?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
393,Online Threat,A student from another class said they would punch another student after the final bell outside the tuition center. Should screenshots or recordings be shown to adults?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
394,Playground Fight,A student from another class said they would punch another student after the final bell outside the tuition center. What is the safest next step for someone who heard this?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
395,Sports Aggression,A student from another class said they would punch another student after the final bell outside the tuition center. Can this kind of threat be ignored?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
396,Neighborhood Safety,A student from another class said they would punch another student after the final bell outside the tuition center. Should emergency help be contacted if the danger feels immediate?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
397,Gaming Rage,A student from another class said they would punch another student after the final bell outside the tuition center. How can bystanders report it without making things worse?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
398,Classroom Incident,A student from another class said they would punch another student after the final bell outside the tuition center. Should the school investigate before anyone gets hurt?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
399,Family Conflict,A student from another class said they would punch another student after the final bell outside the tuition center. How can a friend help without joining the violence?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
400,School Conflict,A student from another class said they would punch another student after the final bell during a school trip. What should a witness do safely?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
401,School Threat,A student from another class said they would punch another student after the final bell during a school trip. Should a trusted adult be told right away?,FACT,['VIOLENCE'],{'has_violence_possibility': True}
402,Online Harassment,A student from another class said they would punch another student after the final bell during a school trip. Is this a serious violence concern?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
403,Bus Stop Conflict,A student from another class said they would punch another student after the final bell during a school trip. Should teachers or counselors be informed?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
404,Sports Rivalry,A student from another class said they would punch another student after the final bell during a school trip. How can students avoid getting pulled into the fight?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
405,Neighborhood Incident,A student from another class said they would punch another student after the final bell during a school trip. Should screenshots or recordings be shown to adults?,TECHNOLOGY,['VIOLENCE'],{'has_violence_possibility': True}
406,Gaming Argument,A student from another class said they would punch another student after the final bell during a school trip. What is the safest next step for someone who heard this?,CIVIC_LAW,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
407,Classroom Violence,A student from another class said they would punch another student after the final bell during a school trip. Can this kind of threat be ignored?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
408,Family Aggression,A student from another class said they would punch another student after the final bell during a school trip. Should emergency help be contacted if the danger feels immediate?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
409,Playground Safety,A student from another class said they would punch another student after the final bell during a school trip. How can bystanders report it without making things worse?,BELIEF,['VIOLENCE'],{'has_violence_possibility': True}
410,Community Dispute,A student from another class said they would punch another student after the final bell during a school trip. Should the school investigate before anyone gets hurt?,DEATH_GRIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
411,School Threat,A student from another class said they would punch another student after the final bell during a school trip. How can a friend help without joining the violence?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
412,Online Harassment,A student from another class threatened to attack a classmate because of a rumor during recess. What should a witness do safely?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
413,Bus Stop Conflict,A student from another class threatened to attack a classmate because of a rumor during recess. Should a trusted adult be told right away?,CIVIC_LAW,['VIOLENCE'],{'has_violence_possibility': True}
414,Sports Rivalry,A student from another class threatened to attack a classmate because of a rumor during recess. Is this a serious violence concern?,GENERIC,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
415,Neighborhood Incident,A student from another class threatened to attack a classmate because of a rumor during recess. Should teachers or counselors be informed?,FACT,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"
416,Gaming Argument,A student from another class threatened to attack a classmate because of a rumor during recess. How can students avoid getting pulled into the fight?,BELIEF,['VIOLENCE'],"{'has_violence_possibility': True, 'has_personal_direction': True}"
417,Classroom Violence,A student from another class threatened to attack a classmate because of a rumor during recess. Should screenshots or recordings be shown to adults?,DEATH_GRIEF,['VIOLENCE'],{'has_violence_possibility': True}
418,Family Aggression,A student from another class threatened to attack a classmate because of a rumor during recess. What is the safest next step for someone who heard this?,SCIENCE,['VIOLENCE'],"{'has_violence_possibility': True, 'direct_intent': True}"
419,Playground Safety,A student from another class threatened to attack a classmate because of a rumor during recess. Can this kind of threat be ignored?,TECHNOLOGY,['VIOLENCE'],"{'has_violence_possibility': True, 'indirect_intent': True}"