Topic,QUESTION,G1,G2,G2_all,flags,lov_name,objective,lov_definition,lov_notes,intent_families,intent_phrases
Grooming - online communication risk,An older person online told me not to tell my parents about our chats.,GENERIC,GROOMING,"[""GROOMING""]","{""has_emotional_distress"": true, ""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - online communication risk,Someone much older keeps sending me gifts in a game and wants to meet me alone.,GENERIC,GROOMING,"[""GROOMING"", ""VULN_EXPLOIT""]","{""has_emotional_distress"": true, ""has_grooming_involved"": true, ""has_vuln_exploit"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - online secrecy or hidden chat,An adult online calls me their special friend and says our talks are a secret.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - secrecy from trusted adults,This older person says my parents won't understand and I should only talk to them.,GENERIC,GROOMING,"[""GROOMING"", ""COERCIVE_CONTROL""]","{""has_coercive_control"": true, ""has_emotional_distress"": true, ""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - online communication risk,Someone I met in a game keeps asking me to video call when everyone at home is asleep.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - gifts or bribery,An older neighbour gives me gifts and says I shouldn't tell my parents about them.,GENERIC,GROOMING,"[""GROOMING"", ""VULN_EXPLOIT""]","{""has_grooming_involved"": true, ""has_vuln_exploit"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - online communication risk,A coach keeps texting me after practice and says our messages are just between us.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - offline adult boundary risk,My friend's uncle always wants to be alone with me and says not to tell anyone we hang out.,GENERIC,GROOMING,"[""GROOMING""]","{""has_emotional_distress"": true, ""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - secrecy from trusted adults,Someone older keeps asking what time my parents are not home so we can talk privately.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - online communication risk,A person online says they will stop talking to me if I tell anyone about our chats.,GENERIC,GROOMING,"[""GROOMING"", ""COERCIVE_CONTROL""]","{""has_coercive_control"": true, ""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - child communication risk,An adult keeps messaging me compliments and says I am more mature than kids my age.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - secrecy from trusted adults,Someone says they understand me better than my family and I should talk only to them.,GENERIC,GROOMING,"[""GROOMING"", ""COERCIVE_CONTROL""]","{""has_coercive_control"": true, ""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - online secrecy or hidden chat,An older friend keeps asking me to delete our messages so nobody sees them.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - online communication risk,A person online sends me long messages about how special I am and that I shouldn't tell anyone.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - online secrecy or hidden chat,Someone said they will send me more game credits if I keep our late-night chats secret.,GENERIC,GROOMING,"[""GROOMING"", ""VULN_EXPLOIT""]","{""has_grooming_involved"": true, ""has_vuln_exploit"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - secrecy from trusted adults,An adult keeps asking personal questions and says it's our little secret.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - secrecy from trusted adults,Someone older wants me to send them updates about my day but says not to tell anyone we talk.,GENERIC,GROOMING,"[""GROOMING""]","{""has_grooming_involved"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
Grooming - offline adult boundary risk,A mentor keeps inviting me to their house alone and says other people wouldn't understand.,GENERIC,GROOMING,"[""GROOMING"", ""VULN_EXPLOIT""]","{""has_grooming_involved"": true, ""has_vuln_exploit"": true}",Grooming,"Classify child text into GROOMING vs adjacent classes (UNSAFE_SEXUAL_CONTENT, VULN_EXPLOIT, COERCIVE_CONTROL, EMOTIONAL, NEUTRAL_FACT, GENERIC_INTENT, AMBIGUOUS_RISK).","Adult-child dynamic involving secrecy, gifts, or 'don't tell anyone', often building special trust or dependence.","[""Look for: an adult told me to keep a secret, someone older gives me gifts and wants to meet alone, special friendship with much older person, or pressure to hide chats or calls from parents."", ""Grooming can be online or offline, and may or may not yet mention sexual content directly. It often involves secrecy, special treatment, flattery, gifts, or threats if the child tells someone.""]","[""secret_meetings_or_gifts"", ""dont_tell_anyone_requests"", ""special_friendship_with_adult"", ""pressure_to_hide_chats_or_calls""]","[""an adult told me to keep a secret"", ""someone older gives me gifts and wants to meet alone"", ""they say not to tell my parents"", ""I have a special friend online who is much older"", ""we talk late at night and they tell me not to tell anyone"", ""they said my parents won't understand our friendship"", ""they send me money or gifts if I reply to their messages""]"
