TOPIC,QUESTION,G1,G2,G2_all,flags,lov_name,objective,lov_definition,lov_notes,intent_families,intent_phrases
Self-harm direct intent,I want to hurt myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I think about cutting myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to end my life.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I might overdose tonight.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I keep thinking about killing myself.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to die.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,I keep wanting to disappear forever.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I hurt myself when I feel overwhelmed.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I am planning to harm myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I don't want to be alive anymore.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I have been self harming again.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to jump off something high.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I'm going to make myself bleed.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,I need to stop existing.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to poison myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I keep scratching myself until I bleed.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to slit my wrists.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I think of ways to hurt myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,I don't see a reason to keep living.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to take too many pills.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to choke myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,I feel like ending it all.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to burn myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I keep hurting my body on purpose.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm direct intent,I want to stab myself.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""direct_intent"": true, ""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": false, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,Everyone would be better off if I weren't here.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,I wish I could just disappear.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,I feel like a burden and people would be happier without me.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,Nothing matters anymore and I just want it to stop.,GENERIC,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,I keep thinking about not waking up tomorrow.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
Self-harm indirect ideation,It would be easier if I vanished.,DEATH_GRIEF,SELF_HARM,"[""SELF_HARM""]","{""has_emotional_distress"": true, ""has_self_harm"": true, ""indirect_intent"": true, ""needs_clarification"": false}",Self-Harm / Suicidal Ideation,"Classify child text into SELF_HARM, EMOTIONAL, or AMBIGUOUS_RISK","Child references self-harm, suicidal thoughts, or wanting to disappear.","[""Look for: hurt myself, don't want to be here, want to die, no reason to live."", ""High priority.""]","[""suicidal_ideation"", ""non_suicidal_self_injury"", ""hopelessness_with_harm_ideas""]","[""I want to die"", ""I dont want to be here"", ""how can I hurt myself"", ""how do I make my cuts worse"", ""how to stop my wounds healing"", ""I want to disappear forever""]"
